,Skimmer Preselection,HLT,450 ≤ bbFatJetPt_JES_up0 < 550,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,6287466.0,6287466.0,2229933.0,1331150.0,1473.0
ttbar,65282.94,65282.94,18913.66,9256.69,2.17
qcd,4381637.28,4381637.28,1599270.9,960998.98,793.98
hbb,431.59,431.59,165.41,143.62,15.32
Zto2Q,45814.95,45814.95,14751.4,10913.05,484.72
Wto2Q,64020.52,64020.52,20700.76,14761.84,10.63
Zto2Q_BB,14719.31,14719.31,4678.32,3981.57,477.72
Zto2Q_CC,7187.7,7187.7,2395.72,2132.07,5.15
Zto2Q_QQ,4486.37,4486.37,1453.7,1256.37,0.27
Zto2Q_unmatched,19421.57,19421.57,6223.66,3543.04,1.58
