,Skimmer Preselection,HLT,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,6287466.0,6287466.0,1906555.0,1005881.0,1437.0
ttbar,65282.94,65282.94,18218.63,6381.04,1.74
qcd,4381637.28,4381637.28,1447504.78,770543.98,714.64
hbb,431.59,431.59,126.08,108.96,18.2
Zto2Q,45814.95,45814.95,15329.3,9976.93,628.32
Wto2Q,64020.52,64020.52,23905.83,16220.56,13.39
Zto2Q_BB,14719.31,14719.31,4896.14,3543.84,611.43
Zto2Q_CC,7187.7,7187.7,2478.96,1991.21,13.96
Zto2Q_QQ,4486.37,4486.37,1934.14,1542.39,0.34
Zto2Q_unmatched,19421.57,19421.57,6020.06,2899.5,2.6
