,Skimmer Preselection,HLT,450 ≤ bbFatJetPt0 < 550,50.0 ≤ bbFatJetParTmassVis_JMS_down0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,6287466.0,5861759.0,2229933.0,1331150.0,1473.0
ttbar,65282.94,55303.46,18773.94,9192.71,2.23
qcd,4381637.28,4137336.5,1599270.9,960998.98,793.98
hbb,431.59,383.34,166.1,144.75,15.89
Zto2Q,45814.95,42134.15,14752.45,10905.2,487.48
Wto2Q,64020.52,60301.95,20778.81,14840.6,10.63
Zto2Q_BB,14719.31,13170.37,4678.85,3976.08,480.35
Zto2Q_CC,7187.7,6573.96,2404.53,2136.29,5.29
Zto2Q_QQ,4486.37,4302.82,1471.93,1272.59,0.27
Zto2Q_unmatched,19421.57,18087.0,6197.14,3520.25,1.58
