,Skimmer Preselection,HLT,450 ≤ bbFatJetPt0 < 550,50.0 ≤ bbFatJetParTmassVis_JMR_down0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,6287466.0,5861759.0,2229933.0,1331150.0,2924.0
ttbar,65282.94,55303.46,18773.94,9070.09,9.91
qcd,4381637.28,4137336.5,1599270.9,960998.98,2244.03
hbb,431.59,383.34,166.1,144.6,19.53
Zto2Q,45814.95,42134.15,14752.45,10879.55,444.44
Wto2Q,64020.52,60301.95,20778.81,14824.55,11.57
Zto2Q_BB,14719.31,13170.37,4678.85,3963.58,425.49
Zto2Q_CC,7187.7,6573.96,2404.53,2132.76,11.71
Zto2Q_QQ,4486.37,4302.82,1471.93,1269.77,0.59
Zto2Q_unmatched,19421.57,18087.0,6197.14,3513.43,6.64
