,Skimmer Preselection,HLT,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis_JMR_down0 < 150.0,0.1 ≤ bbFatJetParTTXbb0 < 0.9
data,6287466.0,6287466.0,1906555.0,1005881.0,355440.0
ttbar,65282.94,65282.94,18218.63,6346.3,4582.82
qcd,4381637.28,4381637.28,1447504.78,770543.98,304423.98
hbb,431.59,431.59,126.08,109.44,44.98
Zto2Q,45814.95,45814.95,15329.3,9972.92,4032.7
Wto2Q,64020.52,64020.52,23905.83,16213.48,5286.63
Zto2Q_BB,14719.31,14719.31,4896.14,3540.78,1596.08
Zto2Q_CC,7187.7,7187.7,2478.96,1990.46,944.68
Zto2Q_QQ,4486.37,4486.37,1934.14,1542.26,346.03
Zto2Q_unmatched,19421.57,19421.57,6020.06,2899.42,1145.91
