,Skimmer Preselection,HLT,550 ≤ bbFatJetPt_JES_up0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,6287466.0,5861759.0,1906555.0,1005881.0,3861.0
ttbar,65282.94,55303.46,18716.03,6590.81,19.55
qcd,4381637.28,4137336.5,1447504.78,770543.98,3482.7
hbb,431.59,383.34,131.68,114.01,14.29
Zto2Q,45814.95,42134.15,15828.7,10334.7,431.68
Wto2Q,64020.52,60301.95,24621.73,16743.1,52.78
Zto2Q_BB,14719.31,13170.37,5060.97,3675.57,393.42
Zto2Q_CC,7187.7,6573.96,2564.7,2063.52,28.03
Zto2Q_QQ,4486.37,4302.82,1997.64,1596.42,1.43
Zto2Q_unmatched,19421.57,18087.0,6205.39,2999.19,8.79
