,Skimmer Preselection,HLT,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis_JMS_up0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,6287466.0,5861759.0,1906555.0,1005881.0,1437.0
ttbar,65282.94,55303.46,18218.63,6322.65,1.74
qcd,4381637.28,4137336.5,1447504.78,770543.98,714.64
hbb,431.59,383.34,126.08,108.66,18.14
Zto2Q,45814.95,42134.15,15329.3,9958.37,628.2
Wto2Q,64020.52,60301.95,23905.83,16199.11,13.39
Zto2Q_BB,14719.31,13170.37,4896.14,3535.62,611.31
Zto2Q_CC,7187.7,6573.96,2478.96,1988.28,13.96
Zto2Q_QQ,4486.37,4302.82,1934.14,1540.87,0.34
Zto2Q_unmatched,19421.57,18087.0,6020.06,2893.6,2.6
