,Skimmer Preselection,HLT,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis_JMS_down0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,6287466.0,6287466.0,1083184.0,708572.0,635.0
ttbar,65282.94,65282.94,11876.17,8052.43,1.67
qcd,4381637.28,4381637.28,699309.5,454503.77,330.08
hbb,431.59,431.59,70.74,62.16,5.87
Zto2Q,45814.95,45814.95,7457.7,5926.69,203.41
Wto2Q,64020.52,64020.52,9685.22,7328.65,4.32
Zto2Q_BB,14719.31,14719.31,2339.78,2187.71,200.54
Zto2Q_CC,7187.7,7187.7,1104.25,1048.34,1.78
Zto2Q_QQ,4486.37,4486.37,588.8,547.6,0.0
Zto2Q_unmatched,19421.57,19421.57,3424.87,2143.05,1.09
