,Skimmer Preselection,HLT,350 ≤ bbFatJetPt_JER_down0 < 450,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,6287466.0,5861759.0,1083184.0,708572.0,1507.0
ttbar,65282.94,55303.46,11880.57,8006.61,10.4
qcd,4381637.28,4137336.5,699309.5,454503.77,1073.06
hbb,431.59,383.34,70.67,61.81,5.75
Zto2Q,45814.95,42134.15,7454.38,5917.19,224.82
Wto2Q,64020.52,60301.95,9673.61,7301.27,8.1
Zto2Q_BB,14719.31,13170.37,2338.15,2184.1,216.93
Zto2Q_CC,7187.7,6573.96,1103.43,1046.15,3.58
Zto2Q_QQ,4486.37,4302.82,590.11,547.46,0.06
Zto2Q_unmatched,19421.57,18087.0,3422.69,2139.48,4.26
