,Skimmer Preselection,HLT,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis_JMS_up0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,6287466.0,6287466.0,1083184.0,708572.0,3196.0
ttbar,65282.94,65282.94,11876.17,7966.64,28.98
qcd,4381637.28,4381637.28,699309.5,454503.77,2581.31
hbb,431.59,431.59,70.74,61.91,8.02
Zto2Q,45814.95,45814.95,7457.7,5913.42,260.45
Wto2Q,64020.52,64020.52,9685.22,7309.77,11.45
Zto2Q_BB,14719.31,14719.31,2339.78,2182.89,244.8
Zto2Q_CC,7187.7,7187.7,1104.25,1045.81,6.97
Zto2Q_QQ,4486.37,4486.37,588.8,545.99,0.5
Zto2Q_unmatched,19421.57,19421.57,3424.87,2138.73,8.17
